shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
On Running Cloudswift Alloy Eclipse Grey, On, 41.98925, 150, 166, 65, undefined, 637501711cb69837c65300e2, On Running Cloudswift, Alloy/Eclipse, , 
On Running Cloudwander Waterproof Black Eclipse, On, 73.98606, 180, 297, undefined, undefined, 637501711cb69837c65300e3, On Running Cloudwander Waterproof, Black/Eclipse, , 
On Running Cloudultra Olive Green Eclipse, On, 44.99541, 180, undefined, 399, undefined, 637501711cb69837c65300e4, On Running Cloudultra, Olive/Eclipse, , 
On Running Cloudflow 2.0 Rust Rose (W), On, 25.99587, 140, 149, undefined, undefined, 637501711cb69837c65300e5, On Running Cloudflow 2.0, Rust/Rose, , 
On Running Cloudgo White Meadow Green (W), On, 55.98624, 140, 233, undefined, undefined, 637501711cb69837c65300e6, On Running Cloudgo, White/Meadow, , 
On Running Cloudultra Lavender Eclipse (W), On, 44.99536, 180, 345, undefined, undefined, 637501711cb69837c65300e7, On Running Cloudultra, Lavender/Eclipse, , 
On Running Cloudflow 3.0 Black Turmeric, On, 35.98398, 140, 155, undefined, undefined, 637501711cb69837c65300e8, On Running Cloudflow 3.0, Black/Turmeric, , 
On Running Cloud 5 Rust Black (W), On, 59.98898, 140, 201, undefined, undefined, 637501711cb69837c65300e9, On Running Cloud 5, Rust/Black, , 
On Running Cloudnova Z5 Black Cyan, On, 26.98931, 180, 190, undefined, undefined, 637501711cb69837c65300ea, On Running Cloudnova Z5, Black/Cyan, , 
On Running Cloudswift Rock Slate Grey, On, 41.99583, 150, 189, undefined, undefined, 637501711cb69837c65300eb, On Running Cloudswift, Rock/Slate, , 
On Running Cloudnova Phantom White, On, 26.99116, 160, 198, 239, undefined, 637501711cb69837c65300ec, On Running Cloudnova, Phantom/White, , 
On Running Cloudswift Magnet Lavender (W), On, 41.99226, 150, 233, undefined, undefined, 637501711cb69837c65300ed, On Running Cloudswift, Magnet/Lavender, , 
On Running Cloudflow 3.0 Lake Blue Flare Orange, On, 35.99237, 140, undefined, undefined, undefined, 637501711cb69837c65300ee, On Running Cloudflow 3.0, Lake/Flare, , 
On Running Cloudswift White Flame Orange, On, 41.99582, 150, 160, 120, undefined, 637501711cb69837c65300ef, On Running Cloudswift, White/Flame, , 
On Running Cloudflow 3.0 Meadow Green White, On, 35.98687, 140, undefined, undefined, undefined, 637501711cb69837c65300f0, On Running Cloudflow 3.0, Meadow/White, , 
On Running Cloudnova Cumin Flame, On, 26.99183, 160, undefined, undefined, undefined, 637501711cb69837c65300f1, On Running Cloudnova, Cumin/Flame, , 
On Running Cloudnova Black Eclipse, On, 26.99822, 160, 233, 147, undefined, 637501711cb69837c65300f2, On Running Cloudnova, Black/Eclipse, , 
On Running Cloudflow 3.0 Rose Pink Fiji Orange (W), On, 35.98686, 140, 314, undefined, undefined, 637501711cb69837c65300f3, On Running Cloudflow 3.0, Rose/Fiji, , 
On Running Cloudgo Turmeric Aloe, On, 55.98631, 140, 189, undefined, undefined, 637501711cb69837c65300f4, On Running Cloudgo, Turmeric/Aloe, , 
On Running Cloudflow 2.0 Flare Orange Dawn, On, 25.99588, 140, undefined, undefined, undefined, 637501711cb69837c65300f5, On Running Cloudflow 2.0, Flare/Dawn, , 
On Running Cloudstratus White Black Sage (W), On, 39.98997, 170, 345, undefined, undefined, 637501711cb69837c65300f6, On Running Cloudstratus, White/Black, , 
On Running Cloudultra Limelight Eclipse, On, 44.99542, 180, undefined, undefined, undefined, 637501711cb69837c65300f7, On Running Cloudultra, Limelight/Eclipse, , 
On Running Cloud X Black Asphalt Grey, On, 40.99706, 140, 200, undefined, undefined, 637501711cb69837c65300f8, On Running Cloud X, Black/Asphalt, , 
On Running Cloud 5 Olive Green White, On, 59.98912, 140, 250, undefined, undefined, 637501711cb69837c65300f9, On Running Cloud 5, Olive/White, , 
On Running Cloud 5 Denim White (W), On, 59.98901, 140, 201, undefined, undefined, 637501711cb69837c65300fa, On Running Cloud 5, Denim/White, , 
On Running Cloudultra Glacier Grey Frost White (W), On, 44.99042, 180, 314, undefined, undefined, 637501711cb69837c65300fb, On Running Cloudultra, Glacier/Frost, , 
On Running Cloudnova Z5 Black Cyan (W), On, 26.98929, 180, 135, undefined, undefined, 637501711cb69837c65300fc, On Running Cloudnova Z5, Black/Cyan, , 
On Running Cloud X Lavender Ice (W), On, 40.99697, 140, 261, undefined, undefined, 637501711cb69837c65300fd, On Running Cloud X, Lavender/Ice, , 
On Running Cloudnova White Limelight, On, 26.98493, 160, undefined, undefined, undefined, 637501711cb69837c65300fe, On Running Cloudnova, White/Limelight, , 
On Running Cloudnova White Mineral Grey Purple, On, 26.98989, 160, 333, 136, undefined, 637501711cb69837c65300ff, On Running Cloudnova, White/Mineral, , 
On Running Cloudnova Cream Camo Navy (W), On, 26.99478, 160, undefined, undefined, undefined, 637501711cb69837c6530100, On Running Cloudnova, Cream/Camo, , 
On Running Cloudnova White Red, On, 26.98991, 160, 125, 326, undefined, 637501711cb69837c6530101, On Running Cloudnova, White/Red, , 
On Running Cloudstratus Lake Blue Flare Orange, On, 39.99213, 170, 166, 263, undefined, 637501711cb69837c6530102, On Running Cloudstratus, Lake/Flare, , 
On Running Cloud X Alloy Grey Niagara Blue, On, 40.99038, 140, 218, undefined, undefined, 637501711cb69837c6530103, On Running Cloud X, Alloy/Niagara, , 
On Running Cloudswift Denim Midnight Navy, On, 41.99584, 150, 146, undefined, undefined, 637501711cb69837c6530104, On Running Cloudswift, Denim/Midnight, , 
On Running Cloudultra Moss Eclipse (W), On, 44.99537, 180, 158, undefined, undefined, 637501711cb69837c6530105, On Running Cloudultra, Moss/Eclipse, , 
On Running Cloudnova Z5 White Cyan (W), On, 26.98381, 180, 314, undefined, undefined, 637501711cb69837c6530106, On Running Cloudnova Z5, White/Cyan, , 
On Running Cloud Hi Waterproof Black, On, 28.99674, 200, 124, undefined, undefined, 637501711cb69837c6530107, On Running Cloud Hi Waterproof, Black/Black, , 
On Running Cloud X Silver Almond (W), On, 40.99699, 140, 166, undefined, undefined, 637501711cb69837c6530108, On Running Cloud X, Silver/Almond, , 
On Running Cloudswift Lake Sky Blue (W), On, 41.99578, 150, 233, undefined, undefined, 637501711cb69837c6530109, On Running Cloudswift, Lake/Sky, , 
On Running Cloudstratus Black (W), On, 39.99211, 170, 135, undefined, undefined, 637501711cb69837c653010a, On Running Cloudstratus, Black, , 
On Running Cloudgo Rose Magnet Orange (W), On, 55.98622, 140, 209, undefined, undefined, 637501711cb69837c653010b, On Running Cloudgo, Rose/Magnet, , 
On Running Cloudflow 3.0 Ink Blue Meadow Green, On, 35.99034, 140, 200, undefined, undefined, 637501711cb69837c653010c, On Running Cloudflow 3.0, Ink/Meadow, , 
On Running Cloud X Mocha Brown Sand (W), On, 40.99239, 140, 117, undefined, undefined, 637501711cb69837c653010d, On Running Cloud X, Mocha/Sand, , 
