shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
Hoka One One Zinal Atlantis Outer Space, Hoka One One, 1119399-AOSP, 160, 245, undefined, undefined, 637501711cb69837c6530203, Hoka One One Zinal, Atlantis/Outer Space, , 
Hoka One One Bondi 8 Haror Mist Lunar Rock (W), Hoka One One, 1127952-HMLR, 165, 212, 256, undefined, 637501711cb69837c6530204, Hoka One One Bondi 8, Haror Mist/Lunar Rock, , 
Hoka One One Ora Recovery Slide Free People Movement Euphoric Lilac, Hoka One One, 1134731-ELLC, 50, 187, undefined, undefined, 637501711cb69837c6530205, Hoka One One Ora Recovery Slide, Euphoric Lilac, , 
Hoka One One Kawana Black White (W), Hoka One One, 1123164-BWHT, undefined, 224, 351, undefined, 637501711cb69837c6530206, Hoka One One Kawana, Black/White, , 
Hoka One One Clifton 8 Fiesta Orange Purple (W), Hoka One One, 1119394-FBLN, 140, 186, 277, undefined, 637501711cb69837c6530207, Hoka One One Clifton 8, Fiesta/Bluing, , 
Hoka One One Bondi 8 Butterfly Yellow Evening Primrose, Hoka One One, 1123202-BEPM, 165, 98, undefined, undefined, 637501711cb69837c6530208, Hoka One One Bondi 8, Butterfly/Evening Primrose, , 
Hoka Ora Luxe Black (All Gender), Hoka One One, 1134150-BBLC, 80, 87, 81, undefined, 637501711cb69837c6530209, Hoka Ora Luxe, Black/Black, , 
Hoka One One Bondi 6 Triple Black, Hoka One One, 1019269-BBLC, 150, 301, 367, 367, 637501711cb69837c653020a, Hoka One One Bondi 6, Black/Black, , 
Hoka One One Bondi 8 Black White (W), Hoka One One, 1127952-BWHT, 165, undefined, undefined, undefined, 637501711cb69837c653020b, Hoka One One Bondi 8, Black/White, , 
Hoka One One Bondi L Gore-Tex Black (All Gender), Hoka One One, 1129973-BBLC, 180, 199, undefined, undefined, 637501711cb69837c653020c, Hoka One One Bondi L Gore-Tex, Black/Black, , 
Hoka One One Bondi 7 Provincial Blue Citrus, Hoka One One, 1110518-PBCS, 150, undefined, undefined, undefined, 637501711cb69837c653020d, Hoka One One Bondi 7, Provincial Blue/Citrus, 2020-09-01, 
Hoka One One Clifton Edge Team Kit Vintage Indigo, Hoka One One, 1110510-VITF, 160, 165, 155, undefined, 637501711cb69837c653020e, Hoka One One Clifton Edge, Vintage Indigo/Tofu, 2020-08-18, 
Hoka One One Arahi 6 Plein Air Blue Fog Orange, Hoka One One, 1123194-PABF, 140, 224, undefined, undefined, 637501711cb69837c653020f, Hoka One One Arahi 6, Plein Air/Blue Fog, , 
Hoka One One Speedgoat 4 CNY Chinese New Year (All Gender), Hoka One One, 1122892-BKGD, 145, 196, undefined, undefined, 637501711cb69837c6530210, Hoka One One Speedgoat 4 CNY, Black/Gold, 2021-02-25, 
Hoka One One Speedgoat Mid Gore-Tex 2 Mandarin Red, Hoka One One, 1106532-MRGF, 170, 170, undefined, undefined, 637501711cb69837c6530211, Hoka One One Speedgoat Mid Gore-Tex 2, Mandarin Red/Gold Fusion, 2020-02-01, 
Hoka One One Rincon 3 Real Teal Eggshell Blue, Hoka One One, 1119395-RTEB, 120, 207, undefined, undefined, 637501711cb69837c6530212, Hoka One One Rincon 3, Real Teal/Eggshell Blue, , 
Hoka One One Bondi 6 Triple Black (Wide), Hoka One One, 1019271-BBLC, 150, undefined, undefined, undefined, 637501711cb69837c6530213, Hoka One One Bondi 6, Black/Black/Black, , 
Hoka One One Bondi 7 Ibiza Blue, Hoka One One, 1110518-IBBG, 160, 211, undefined, undefined, 637501711cb69837c6530214, Hoka One One Bondi 7, Ibiza Blue/Blue Grass, , 
Hoka One One Mach 5 Radiant Yellow Orange, Hoka One One, 1127893-RYEP, 140, 100, 227, undefined, 637501711cb69837c6530215, Hoka One One Mach 5, Radiant Yellow/Evening Primrose, , 
Hoka One One Clifton 8 Grape Wine Beautyberry (W), Hoka One One, 1119394-GWBY, 140, 123, undefined, undefined, 637501711cb69837c6530216, Hoka One One Clifton 8, Grape Wine/Beautyberry, , 
Hoka One One Carbon X 2 Evening Primrose Fiesta (W), Hoka One One, 1113527-EPFS, 180, 218, undefined, undefined, 637501711cb69837c6530217, Hoka One One Carbon X 2, Evening Primrose/Fiesta, , 
